datetime,low,high,open,close,volumefrom,volumeto
2020-01-01,7150.0,7237.35,7168.36,7178.68,1119.11,8052270.93
2020-01-02,6900.0,7184.94,7178.68,6950.56,3972.71,27928978.29
2020-01-03,6853.53,7402.31,6950.56,7338.91,8072.73,58367332.83
2020-01-04,7256.03,7396.1,7338.91,7344.48,3256.74,23825437.64
2020-01-05,7310.0,7495.0,7344.48,7356.7,2707.27,20108463.48
2020-01-06,7342.46,7817.0,7356.7,7762.74,6728.28,51148366.7
2020-01-07,7697.03,8220.0,7762.74,8159.01,12158.32,96360835.32
2020-01-08,7872.09,8463.57,8159.01,8044.44,11913.23,97929528.57
2020-01-09,7737.97,8048.94,8044.44,7806.78,5957.24,47018267.8
2020-01-10,7667.0,8200.0,7806.78,8200.0,8999.99,71487988.31
2020-01-11,8000.0,8286.0,8200.0,8016.22,3788.33,30769860.95
2020-01-12,7960.0,8190.0,8016.22,8180.76,2056.09,16671798.24
2020-01-13,8039.0,8196.81,8180.76,8105.01,4011.44,32494162.71
2020-01-14,8105.01,8895.0,8105.01,8813.04,17009.43,146225207.42
2020-01-15,8555.0,8903.2,8813.04,8809.17,8606.88,75401269.55
2020-01-16,8573.91,8852.35,8809.17,8710.15,6713.26,58128480.46
2020-01-17,8661.52,9015.22,8710.15,8892.63,9363.16,83202108.28
2020-01-18,8798.9,9000.1,8892.63,8908.53,3678.01,32722278.87
2020-01-19,8461.38,9188.1,8908.53,8696.6,8785.45,77156049.64
2020-01-20,8507.93,8740.54,8696.6,8625.17,4420.2,38176413.57
2020-01-21,8480.0,8778.66,8625.17,8717.89,3394.69,29315872.02
2020-01-22,8567.68,8792.98,8717.89,8655.93,3143.81,27226881.83
2020-01-23,8280.0,8665.95,8655.93,8378.44,8611.01,72408778.79
2020-01-24,8212.9,8530.7,8378.44,8422.13,6430.43,53848152.42
2020-01-25,8252.72,8437.47,8422.13,8329.5,2812.79,23426249.24
2020-01-26,8276.22,8600.0,8329.5,8590.48,6340.59,53453535.6
2020-01-27,8546.55,9004.35,8590.48,8894.54,9619.77,84430635.62
2020-01-28,8876.0,9413.24,8894.54,9400.0,9565.56,86973753.2
2020-01-29,9215.5,9443.96,9400.0,9289.18,6481.92,60511710.82
2020-01-30,9166.07,9570.0,9289.18,9500.0,7945.16,74656133.86
2020-01-31,9195.93,9529.35,9500.0,9327.85,5009.62,46781868.72
2020-02-01,9280.33,9464.16,9327.85,9377.17,1669.0,15647313.66
2020-02-02,9135.0,9474.28,9377.17,9329.39,3015.79,28176260.6
2020-02-03,9211.07,9615.0,9329.39,9288.09,4758.13,44541630.34
2020-02-04,9075.0,9348.6,9288.09,9159.37,4867.23,44773399.1
2020-02-05,9142.52,9775.0,9159.37,9618.42,8063.97,76512667.13
2020-02-06,9521.0,9859.57,9618.42,9754.63,7554.49,73394159.76
2020-02-07,9706.94,9878.0,9754.63,9803.42,4013.49,39274637.38
2020-02-08,9658.58,9948.97,9803.42,9902.0,3268.74,32063962.56
2020-02-09,9885.04,10178.54,9902.0,10173.97,4830.34,48619500.95
2020-02-10,9731.2,10199.85,10173.97,9850.01,7560.67,74963300.95
2020-02-11,9706.94,10383.9,9850.01,10268.98,8127.6,81821348.98
2020-02-12,10247.35,10495.0,10268.98,10348.78,6553.41,67795650.93
2020-02-13,10068.0,10500.5,10348.78,10228.67,9347.45,95971600.41
2020-02-14,10093.26,10398.0,10228.67,10364.04,6190.38,63465786.55
2020-02-15,9739.0,10408.04,10364.04,9899.78,5762.31,57929002.53
2020-02-16,9598.49,10051.24,9899.78,9912.89,4133.48,40778597.95
2020-02-17,9467.57,9973.45,9912.89,9697.15,5913.2,57252913.03
2020-02-18,9602.6,10288.0,9697.15,10185.17,6754.35,67153716.79
2020-02-19,9312.0,10300.0,10185.17,9595.72,9936.82,98785031.86
2020-02-20,9396.91,9706.27,9595.72,9612.76,6608.49,63258478.74
2020-02-21,9562.6,9773.2,9612.76,9696.13,4271.47,41404137.04
2020-02-22,9568.51,9722.39,9696.13,9668.13,2096.56,20253010.07
2020-02-23,9664.08,10024.08,9668.13,9965.21,3329.22,32927432.12
2020-02-24,9480.0,10027.66,9965.21,9652.58,5877.01,57123425.65
2020-02-25,9234.21,9682.73,9652.58,9305.4,6280.0,59384596.89
2020-02-26,8627.78,9369.99,9305.4,8779.36,11564.2,103821757.03
2020-02-27,8520.0,8974.75,8779.36,8816.5,9273.9,81515059.44
2020-02-28,8421.49,8900.94,8816.5,8703.84,6546.98,56592181.78
2020-02-29,8525.0,8805.06,8703.84,8527.74,2338.07,20286638.54
2020-03-01,8410.0,8756.11,8527.74,8528.95,4156.57,35511261.83
2020-03-02,8486.72,8980.34,8528.95,8917.34,6186.86,54353354.13
2020-03-03,8660.04,8921.8,8917.34,8755.45,4629.97,40663925.38
2020-03-04,8663.76,8850.0,8755.45,8753.28,3353.23,29341557.58
2020-03-05,8757.79,9169.0,8757.79,9066.65,6448.69,58265604.82
2020-03-06,8990.01,9187.85,9066.65,9153.79,4136.42,37642647.03
2020-03-07,8859.49,9219.13,9153.79,8893.93,2805.59,25374792.8
2020-03-08,7995.48,8901.12,8893.93,8033.7,9068.89,76135548.37
2020-03-09,7636.0,8191.13,8033.7,7936.25,12177.39,95866831.83
2020-03-10,7733.99,8158.42,7936.25,7885.92,8274.95,65746742.7
2020-03-11,7591.99,7988.78,7885.92,7934.57,7289.61,56863822.03
2020-03-12,4776.59,7969.9,7934.57,4841.67,58513.39,360210571.57
2020-03-13,3850.0,5990.35,4841.67,5622.74,54419.64,284267182.43
2020-03-14,5051.0,5663.01,5622.74,5169.37,15370.87,82874138.92
2020-03-15,5092.34,5965.77,5169.37,5343.64,16589.3,89752311.59
2020-03-16,4435.89,5353.04,5343.64,5033.42,34905.46,170219112.51
2020-03-17,4936.0,5569.9,5033.42,5324.99,17517.84,93134794.19
2020-03-18,5006.87,5452.43,5324.99,5406.92,22559.23,118551265.57
2020-03-19,5266.38,6433.98,5406.92,6181.18,24783.73,146253518.53
2020-03-20,5670.0,7139.0,6181.18,6210.14,30082.5,193439601.27
2020-03-21,5866.44,6461.91,6210.14,6187.78,11796.73,72583889.46
2020-03-22,5705.0,6419.0,6187.78,5813.15,10813.38,65253784.14
2020-03-23,5686.34,6629.79,5813.15,6493.51,19053.8,118385188.51
2020-03-24,6400.01,6893.0,6493.51,6768.64,19719.09,131376646.8
2020-03-25,6457.17,6989.04,6768.64,6692.22,16675.74,111416237.44
2020-03-26,6528.07,6798.89,6692.22,6760.72,7393.71,49294382.86
2020-03-27,6210.0,6872.67,6760.72,6376.03,10816.29,71901745.73
