datetime,low,high,open,close,volumefrom,volumeto
2020-01-01,128.17,132.64,128.63,130.27,9263.16,1210406.89
2020-01-02,125.67,130.31,130.27,126.76,14036.97,1805954.87
2020-01-03,125.55,134.9,126.76,133.89,33830.22,4428329.72
2020-01-04,132.3,135.69,133.89,133.85,8324.23,1110753.55
2020-01-05,133.85,138.23,133.85,134.94,6286.34,856024.29
2020-01-06,134.81,144.41,134.94,144.37,28594.18,4032349.08
2020-01-07,138.87,145.2,144.37,143.0,17039.77,2433875.34
2020-01-08,136.42,148.0,143.0,140.48,41734.21,5881880.08
2020-01-09,135.4,141.19,140.48,137.92,23552.0,3260269.86
2020-01-10,135.18,145.29,137.92,144.73,20791.11,2929528.62
2020-01-11,142.01,148.0,144.73,142.63,9947.05,1436109.83
2020-01-12,141.83,146.55,142.63,146.28,4319.42,623306.29
2020-01-13,142.14,146.86,146.28,143.51,14097.82,2020082.48
2020-01-14,143.51,170.86,143.51,165.93,76002.19,11943928.43
2020-01-15,159.09,171.78,165.93,166.26,53765.38,8884630.61
2020-01-16,158.35,167.28,166.26,164.09,32297.64,5238090.67
2020-01-17,162.01,174.3,164.09,169.62,36387.65,6171714.3
2020-01-18,164.78,179.26,169.62,174.24,23068.05,4003559.07
2020-01-19,161.53,178.0,174.24,166.72,21710.24,3643459.73
2020-01-20,160.9,169.23,166.72,166.65,25280.7,4175271.82
2020-01-21,164.28,169.99,166.65,169.35,25536.59,4278217.7
2020-01-22,165.64,171.03,169.35,167.81,14719.87,2472833.04
2020-01-23,158.68,167.81,167.81,162.51,15319.59,2488706.29
2020-01-24,155.12,164.24,162.51,162.15,50015.81,7995308.53
2020-01-25,157.55,162.32,162.15,160.54,3852.12,616161.21
2020-01-26,159.13,167.71,160.54,167.65,7709.41,1263978.88
2020-01-27,164.77,171.84,167.65,169.73,19627.23,3315516.09
2020-01-28,169.73,176.26,169.73,175.8,28602.3,4924607.21
2020-01-29,173.2,178.3,175.8,173.45,12447.7,2196334.7
2020-01-30,170.56,186.4,173.45,184.3,28016.34,5007035.44
2020-01-31,174.77,185.15,184.3,179.84,31905.55,5727865.77
2020-02-01,179.0,184.32,179.84,183.51,10707.06,1954138.85
2020-02-02,179.0,193.13,183.51,188.16,24383.95,4599315.27
2020-02-03,186.45,195.0,188.16,189.66,21746.65,4126088.04
2020-02-04,181.93,191.47,189.66,188.15,24514.89,4575215.94
2020-02-05,187.5,207.91,188.15,203.54,37437.3,7455949.87
2020-02-06,200.47,216.39,203.54,213.09,38877.49,8140753.57
2020-02-07,212.88,224.44,213.09,223.43,44944.27,9881553.37
2020-02-08,213.56,228.03,223.43,223.2,22896.14,5117143.29
2020-02-09,223.2,230.98,223.2,228.42,37340.04,8506469.24
2020-02-10,213.37,229.84,228.42,222.74,31986.46,7097092.81
2020-02-11,217.82,239.69,222.74,237.95,43291.61,9968465.68
2020-02-12,237.95,275.85,237.95,266.42,70390.13,18194885.69
2020-02-13,255.24,278.31,266.42,268.94,73512.33,19476994.49
2020-02-14,259.67,287.81,268.94,285.96,49082.02,13468428.34
2020-02-15,261.2,289.04,285.96,264.67,46519.02,12796909.11
2020-02-16,236.32,273.98,264.67,258.89,40568.17,10467469.0
2020-02-17,242.31,269.12,258.89,268.3,45087.21,11341613.74
2020-02-18,258.72,286.77,268.3,281.87,55006.07,15149826.77
2020-02-19,251.03,287.0,281.87,258.57,47682.26,13047404.99
2020-02-20,245.0,263.81,258.57,257.42,43814.37,11146940.94
2020-02-21,254.36,269.0,257.42,265.71,37646.27,9909328.85
2020-02-22,255.16,267.43,265.71,262.13,15758.12,4112395.48
2020-02-23,261.91,276.52,262.13,275.66,21398.18,5795710.24
2020-02-24,256.55,278.22,275.66,266.04,26262.95,6993142.59
2020-02-25,243.91,266.04,266.04,246.58,44103.22,11145338.92
2020-02-26,215.13,249.91,246.58,223.76,96974.78,22382446.72
2020-02-27,209.37,239.0,223.76,227.23,62606.47,14144962.09
2020-02-28,213.36,234.84,227.23,227.26,38953.17,8749134.67
2020-02-29,217.13,233.32,227.26,217.63,17738.51,4003142.8
2020-03-01,211.89,227.76,217.63,217.34,32911.96,7199096.72
2020-03-02,215.81,234.65,217.34,231.97,42712.83,9661315.07
2020-03-03,219.9,233.03,231.97,223.46,48628.61,11024041.95
2020-03-04,220.33,228.89,223.46,224.52,20732.33,4654528.74
2020-03-05,224.49,234.43,224.49,228.81,60978.32,14027771.51
2020-03-06,227.69,245.93,228.81,245.52,52598.14,12475286.98
2020-03-07,235.64,252.82,245.52,237.54,27900.13,6793314.94
2020-03-08,195.91,237.54,237.54,199.38,65388.05,14245382.99
2020-03-09,189.64,208.62,199.38,202.93,111388.83,22244719.92
2020-03-10,195.56,206.39,202.93,200.39,62621.31,12606869.63
2020-03-11,181.72,203.13,200.39,194.57,81751.97,15782918.45
2020-03-12,102.66,195.57,194.57,109.42,343137.4,49344660.7
2020-03-13,88.2,148.33,109.42,135.45,397258.14,47071632.34
2020-03-14,120.82,135.6,135.45,122.43,80715.62,10387074.01
2020-03-15,120.0,133.78,122.43,123.55,128402.08,16024645.5
2020-03-16,100.66,123.81,123.55,111.04,167022.61,18353638.27
2020-03-17,109.68,121.33,111.04,115.91,69740.64,8200553.59
