datetime,low,high,open,close,volumefrom,volumeto
2020-01-01,41.0,41.97,41.09,41.39,3202.84,132752.57
2020-01-02,38.97,41.61,41.39,39.28,13464.37,537963.59
2020-01-03,38.61,42.35,39.28,42.15,41355.5,1696013.31
2020-01-04,41.74,42.8,42.15,42.79,17694.6,748682.58
2020-01-05,42.58,44.5,42.79,43.25,6149.57,267121.67
2020-01-06,43.16,46.12,43.25,45.82,18222.38,824056.08
2020-01-07,44.47,46.94,45.82,46.39,54066.25,2475740.95
2020-01-08,44.11,48.62,46.39,45.32,64869.29,3011351.62
2020-01-09,43.91,45.79,45.32,44.88,27622.11,1239509.56
2020-01-10,43.73,49.67,44.88,49.22,33918.4,1608022.95
2020-01-11,47.79,51.91,49.22,49.34,39821.13,1982965.89
2020-01-12,48.81,51.61,49.34,51.33,15980.03,805985.93
2020-01-13,48.88,51.47,51.33,49.51,35569.13,1777718.37
2020-01-14,49.51,60.79,49.51,58.61,87153.69,4896908.78
2020-01-15,55.36,60.39,58.61,58.01,36906.6,2140514.02
2020-01-16,54.72,58.33,58.01,57.72,22141.34,1245341.81
2020-01-17,56.71,63.31,57.72,61.08,54181.28,3250548.26
2020-01-18,57.98,62.39,61.08,59.18,32428.95,1943852.99
2020-01-19,55.28,62.43,59.18,57.65,32720.83,1897333.62
2020-01-20,55.67,58.11,57.65,57.25,15520.9,885326.25
2020-01-21,55.8,58.0,57.25,57.68,11511.69,657195.4
2020-01-22,57.15,59.13,57.68,58.06,12097.94,702274.43
2020-01-23,52.2,58.19,58.06,54.38,33585.45,1833291.51
2020-01-24,50.47,55.29,54.38,54.15,26562.67,1402352.34
2020-01-25,52.18,54.33,54.15,53.29,9355.81,496503.25
2020-01-26,52.78,56.48,53.29,56.22,16866.52,919328.09
2020-01-27,55.83,59.5,56.22,58.57,19706.96,1146093.0
2020-01-28,57.19,61.48,58.57,60.76,29374.53,1750503.32
2020-01-29,59.52,62.38,60.76,59.87,20543.15,1248653.2
2020-01-30,57.98,70.17,59.87,68.04,58152.86,3783222.02
2020-01-31,65.35,69.89,68.04,67.83,38367.57,2583829.56
2020-02-01,67.59,72.76,67.83,70.71,31519.71,2242212.21
2020-02-02,67.62,73.4,70.71,69.67,28233.24,1990531.5
2020-02-03,68.5,72.93,69.67,69.58,22634.16,1586655.95
2020-02-04,66.49,70.27,69.58,67.84,26436.47,1797852.14
2020-02-05,67.52,73.45,67.84,72.44,37436.41,2670352.29
2020-02-06,70.95,74.99,72.44,73.38,39155.13,2868674.76
2020-02-07,72.76,75.45,73.38,74.34,33467.89,2473216.65
2020-02-08,71.59,78.0,74.34,76.79,30043.84,2270424.89
2020-02-09,75.0,78.5,76.79,77.13,19929.25,1534333.68
2020-02-10,72.28,77.52,77.13,74.27,33434.26,2486203.78
2020-02-11,72.62,77.54,74.27,77.0,29534.74,2221501.45
2020-02-12,76.85,82.98,77.0,81.25,60741.92,4835516.89
2020-02-13,77.11,84.44,81.25,80.49,62095.2,4998320.47
2020-02-14,78.7,83.78,80.49,83.25,27904.02,2274223.99
2020-02-15,74.99,83.55,83.25,76.53,61119.96,4824195.74
2020-02-16,67.17,80.49,76.53,74.99,54104.09,3965616.92
2020-02-17,68.68,75.44,74.99,73.4,48598.88,3460554.39
2020-02-18,70.36,79.13,73.4,77.3,42073.13,3145502.68
2020-02-19,67.37,79.78,77.3,70.61,76101.03,5671624.64
2020-02-20,65.77,72.31,70.61,69.68,45332.76,3147323.67
2020-02-21,68.7,75.38,69.68,73.44,27916.81,2033282.45
2020-02-22,63.5,76.85,73.44,75.09,42395.52,3133685.59
2020-02-23,74.84,80.29,75.09,79.77,46265.03,3637267.24
2020-02-24,71.74,80.0,79.77,75.63,48911.61,3682236.2
2020-02-25,69.58,75.85,75.63,70.73,43132.04,3101983.81
2020-02-26,57.49,71.9,70.73,60.56,129257.13,8292288.45
2020-02-27,57.12,65.43,60.56,61.59,78758.07,4836367.41
2020-02-28,56.71,63.58,61.59,60.02,67461.25,4054990.3
2020-02-29,57.97,61.61,60.02,58.13,28369.42,1690494.02
2020-03-01,56.15,60.34,58.13,57.9,32763.4,1902399.33
2020-03-02,57.26,62.41,57.9,61.38,55234.12,3331961.79
2020-03-03,59.47,62.53,61.38,60.87,57182.9,3480546.12
2020-03-04,58.82,61.81,60.87,60.28,35070.4,2113109.78
2020-03-05,60.58,63.34,60.62,61.86,42015.71,2617472.62
2020-03-06,61.3,63.85,61.86,63.29,54791.26,3428690.28
2020-03-07,60.1,63.98,63.29,60.51,32026.36,1984497.09
2020-03-08,50.22,60.51,60.51,51.09,95967.16,5249166.84
2020-03-09,46.21,52.53,51.09,50.46,124071.91,6118170.18
2020-03-10,48.78,51.47,50.46,50.14,43469.02,2185726.87
2020-03-11,45.49,50.76,50.14,48.6,94511.58,4529644.87
2020-03-12,28.8,48.82,48.6,30.76,375186.92,13654922.77
2020-03-13,24.53,40.76,30.76,37.9,309628.4,10203838.04
2020-03-14,33.82,38.01,37.9,34.35,80401.0,2898267.57
2020-03-15,34.0,38.93,34.35,36.3,74255.91,2683193.31
2020-03-16,29.21,36.3,36.3,33.47,157902.13,5094743.79
2020-03-17,32.59,36.07,33.47,34.45,74133.68,2574619.46
2020-03-18,32.46,34.9,34.45,34.64,89180.38,2995818.58
2020-03-19,34.08,40.93,34.64,39.05,158359.19,5991992.86
2020-03-20,34.01,43.9,39.05,38.12,149870.31,5984833.05
2020-03-21,36.26,39.85,38.12,38.42,90725.44,3444650.26
2020-03-22,34.8,39.69,38.42,35.41,52140.66,1928765.83
2020-03-23,34.63,40.31,35.41,39.08,67348.13,2550912.85
2020-03-24,38.4,41.07,39.08,40.72,69531.6,2773814.38
2020-03-25,38.15,41.16,40.72,39.25,53909.58,2129823.93
2020-03-26,38.53,40.61,39.25,40.61,38673.62,1518962.53
2020-03-27,37.47,41.38,40.61,38.17,54726.97,2183135.5
2020-03-28,36.64,39.51,38.17,38.97,67682.33,2553626.28
2020-03-29,37.01,39.17,38.97,37.1,31641.78,1198821.86
2020-03-30,37.1,39.79,37.1,39.09,23849.9,924108.53
2020-03-31,38.45,39.37,39.09,39.35,17666.23,688333.69
2020-04-01,37.2,39.61,39.35,39.3,35413.58,1357534.74
2020-04-02,39.11,43.04,39.3,39.83,49482.98,2004271.08
2020-04-03,39.71,41.32,39.83,40.62,30124.54,1223489.68
2020-04-04,40.01,41.37,40.62,40.8,15361.02,621583.79
2020-04-05,39.95,41.07,40.8,40.47,17496.78,708948.93
2020-04-06,40.38,45.18,40.47,45.1,67402.78,2910836.27
2020-04-07,43.75,47.65,45.1,44.8,65700.01,3011836.5
2020-04-08,44.34,47.25,44.8,46.57,26786.38,1237227.63
2020-04-09,44.75,46.92,46.57,46.34,22929.87,1057253.31
2020-04-10,40.93,46.4,46.34,42.16,57660.71,2463776.59
2020-04-11,41.5,43.16,42.16,42.68,18706.17,792412.35
2020-04-12,41.93,43.76,42.68,42.0,27337.12,1175141.21
2020-04-13,39.35,42.0,42.0,41.29,37382.22,1515606.58
2020-04-14,40.64,41.93,41.29,41.25,22480.08,929777.15
2020-04-15,39.07,41.72,41.25,39.31,22226.7,897098.19
2020-04-16,37.17,43.77,39.31,42.34,77529.72,3191828.83
2020-04-17,41.62,43.0,42.34,42.35,18664.57,787047.03
2020-04-18,42.16,44.53,42.35,44.25,15849.84,685403.63
2020-04-19,41.6,44.25,44.25,42.32,13771.77,588414.53
2020-04-20,39.56,43.28,42.32,40.25,63930.18,2603294.41
2020-04-21,40.11,41.3,40.25,40.65,15537.38,632037.83
2020-04-22,40.33,42.41,40.65,41.81,26695.68,1114609.76
2020-04-23,41.06,43.99,41.81,42.9,37272.94,1603218.43
2020-04-24,42.9,45.13,42.9,44.51,56401.69,2484668.91
2020-04-25,43.95,45.6,44.51,44.34,23102.31,1035360.54
2020-04-26,43.82,45.37,44.34,44.65,21844.6,972170.45
2020-04-27,43.23,45.3,44.65,44.59,50462.8,2234191.31
2020-04-28,43.45,46.25,44.59,45.8,30027.91,1340778.21
2020-04-29,45.74,50.16,45.8,48.78,97412.98,4660874.52
2020-04-30,45.68,50.92,48.78,46.26,96824.05,4643435.25
2020-05-01,46.26,48.39,46.26,47.04,23713.27,1124930.36
2020-05-02,46.8,49.61,47.04,49.24,19447.26,937383.28
2020-05-03,46.63,50.08,49.24,48.1,28507.21,1381074.3
2020-05-04,45.14,48.2,48.1,47.12,27292.82,1267016.44
2020-05-05,45.77,47.85,47.12,46.64,36185.46,1694872.0
2020-05-06,44.5,47.69,46.64,45.0,52817.03,2450223.43
2020-05-07,44.44,48.25,45.0,47.47,111678.09,5184765.3
2020-05-08,46.4,48.5,47.47,47.72,51233.05,2435404.9
2020-05-09,46.77,49.06,47.72,47.0,53876.85,2585156.85
2020-05-10,38.78,47.0,47.0,42.19,121307.13,5105633.3
2020-05-11,39.45,42.9,42.19,41.73,65056.56,2663648.16
2020-05-12,41.25,42.88,41.73,42.19,30977.42,1304388.13
2020-05-13,41.97,43.8,42.19,43.26,40780.58,1750597.42
2020-05-14,42.21,44.43,43.26,44.06,55226.03,2406838.38
2020-05-15,41.88,44.19,44.06,42.78,56280.6,2423305.13
2020-05-16,42.52,43.85,42.78,43.22,41794.12,1808111.17
2020-05-17,43.13,44.5,43.22,43.68,49435.53,2179602.63
2020-05-18,43.68,46.62,43.68,45.32,93037.34,4247101.16
2020-05-19,44.04,45.83,45.32,45.78,39031.38,1754034.06
2020-05-20,43.05,46.17,45.78,44.17,78450.65,3498847.62
2020-05-21,41.55,44.6,44.17,42.67,59786.47,2569768.26
2020-05-22,42.34,44.69,42.67,44.17,31154.95,1357815.39
2020-05-23,43.72,44.69,44.17,43.9,20133.71,888977.59
2020-05-24,42.03,44.55,43.9,42.1,42430.33,1836274.46
2020-05-25,41.7,43.31,42.1,42.95,29796.02,1272091.42
2020-05-26,41.76,43.06,42.95,42.3,23766.94,1008585.94
2020-05-27,42.28,44.04,42.3,43.88,46357.93,1997494.7
2020-05-28,43.17,44.94,43.88,44.78,33200.1,1460794.44
2020-05-29,44.18,45.25,44.8,44.52,24213.49,1080829.57
2020-05-30,44.2,48.23,44.52,47.76,59992.43,2796368.77
2020-05-31,45.08,47.77,47.76,45.57,28348.16,1322453.74
2020-06-01,45.36,48.96,45.57,48.29,41988.73,1990372.0
2020-06-02,44.58,49.93,48.29,46.05,79416.69,3771444.74
2020-06-03,45.38,47.51,46.05,47.12,18992.11,882584.48
2020-06-04,46.38,48.13,47.12,47.47,56804.82,2687477.2
2020-06-05,46.43,47.97,47.47,46.84,41631.13,1965692.94
2020-06-06,45.99,47.23,46.84,46.79,16977.22,791366.28
2020-06-07,45.08,47.01,46.79,46.55,25242.96,1164131.68
2020-06-08,45.97,46.79,46.55,46.48,22017.87,1020286.48
2020-06-09,20.0,46.88,46.48,45.92,56926.01,2398944.05
2020-06-10,45.64,47.22,45.92,46.62,43036.14,1992578.12
2020-06-11,42.01,46.95,46.62,43.17,62757.49,2783179.45
2020-06-12,42.76,45.31,43.17,44.69,28765.97,1274344.45
2020-06-13,44.31,45.2,44.69,45.11,13730.49,613944.41
2020-06-14,43.59,45.11,45.11,43.99,21941.97,972342.1
2020-06-15,41.68,44.09,43.99,43.85,47968.73,2059686.44
2020-06-16,43.34,44.2,43.85,43.79,25457.53,1113911.63
2020-06-17,43.0,45.0,43.79,44.06,31177.52,1377131.77
2020-06-18,42.84,44.17,44.06,43.44,22407.98,977589.31
2020-06-19,42.6,43.68,43.44,42.87,32405.86,1399285.55
2020-06-20,42.22,43.83,42.87,43.58,22371.25,959826.04
2020-06-21,42.83,43.79,43.58,42.94,14207.68,614781.18
2020-06-22,42.93,44.62,42.94,44.35,30794.1,1354139.96
2020-06-23,43.9,44.45,44.35,44.15,11075.33,488773.73
2020-06-24,42.1,44.63,44.15,42.63,56374.65,2432801.46
2020-06-25,41.6,42.92,42.63,42.32,34803.62,1473744.96
2020-06-26,41.29,43.52,42.32,43.08,40246.59,1711562.39
2020-06-27,39.17,43.09,43.08,41.04,48857.33,2013111.01
2020-06-28,40.46,42.06,41.04,41.37,19151.39,790426.97
2020-06-29,40.59,42.26,41.37,41.9,54476.31,2252155.23
2020-06-30,40.73,42.05,41.9,41.22,22698.07,936739.17
2020-07-01,41.0,42.03,41.22,41.83,36021.05,1499729.66
2020-07-02,40.32,41.92,41.83,41.06,41006.26,1688349.33
2020-07-03,40.93,41.68,41.06,41.19,13725.35,567043.89
2020-07-04,41.19,42.24,41.19,42.08,21751.77,907718.74
2020-07-05,40.77,42.23,42.08,41.63,19444.92,807601.34
2020-07-06,41.57,44.27,41.63,44.07,64873.58,2793426.61
2020-07-07,43.0,44.38,44.07,43.41,44092.29,1914491.5
2020-07-08,43.14,46.33,43.41,45.34,91961.57,4122135.65
2020-07-09,43.55,45.86,45.34,44.4,36975.66,1656754.02
2020-07-10,42.99,44.58,44.4,44.32,66521.35,2901360.86
