datetime,low,high,open,close,volumefrom,volumeto
2020-01-01,0.1914,0.1947,0.1925,0.1925,6357233.56,1227933.3
2020-01-02,0.1847,0.1925,0.1925,0.187,37935984.18,7175949.69
2020-01-03,0.184,0.1939,0.187,0.1931,54955918.24,10487422.93
2020-01-04,0.1902,0.1935,0.1931,0.1926,26697730.69,5132215.35
2020-01-05,0.1926,0.1974,0.1926,0.1945,24723525.55,4817268.86
2020-01-06,0.1939,0.2239,0.1945,0.2234,70196144.86,14846675.47
2020-01-07,0.207,0.2256,0.2234,0.2139,65477456.19,14084990.86
2020-01-08,0.203,0.2188,0.2139,0.2074,56733875.82,11979437.33
2020-01-09,0.201,0.2086,0.2074,0.2035,50455632.1,10322039.44
2020-01-10,0.1998,0.213,0.2035,0.2126,56386532.62,11587497.46
2020-01-11,0.2084,0.2199,0.2126,0.2113,43567343.2,9284988.76
2020-01-12,0.2095,0.217,0.2113,0.2149,20881828.53,4460519.55
2020-01-13,0.2096,0.2153,0.2149,0.2112,41487822.45,8770107.26
2020-01-14,0.2111,0.2454,0.2112,0.2351,85587090.48,19432006.19
2020-01-15,0.2261,0.2433,0.2351,0.2331,70750768.7,16625171.01
2020-01-16,0.2221,0.2347,0.2331,0.2288,66731393.74,15138097.4
2020-01-17,0.2262,0.2443,0.2288,0.239,73941943.86,17395751.81
2020-01-18,0.2316,0.254,0.239,0.243,47362863.31,11396417.8
2020-01-19,0.2263,0.2514,0.243,0.2354,42330160.71,10060412.8
2020-01-20,0.2237,0.2361,0.2354,0.2324,48745857.14,11296232.24
2020-01-21,0.2286,0.2414,0.2324,0.2363,65776124.24,15511102.79
2020-01-22,0.2316,0.2394,0.2363,0.2368,58081106.05,13677270.15
2020-01-23,0.2203,0.237,0.2368,0.225,67560809.56,15350514.93
2020-01-24,0.213,0.226,0.225,0.222,77978134.73,17255033.57
2020-01-25,0.21600000000000003,0.2225,0.222,0.2189,31433940.14,6876949.05
2020-01-26,0.2175,0.2328,0.2189,0.2303,28952972.78,6476332.63
2020-01-27,0.2254,0.2337,0.2303,0.2302,51396009.94,11828111.12
2020-01-28,0.2302,0.2413,0.2302,0.2392,77803075.53,18257299.69
2020-01-29,0.2318,0.2417,0.2392,0.2347,68747461.89,16326731.91
2020-01-30,0.23,0.2465,0.2347,0.2432,83929172.28,19917037.15
2020-01-31,0.233,0.2449,0.2432,0.2389,77147941.75,18426126.38
2020-02-01,0.2365,0.243,0.2389,0.2409,33220877.9,7989922.75
